words,emotion
وشك ان صبح سبع نصف صبح وحد بءس,sadness
الي قدر اقل كره ولت عرف ندم,sadness
ادر صرخ زعج,sadness
حتج كءن يشر وقت رسم لوح نرفزهوقت فرح او زعل حد حمل تغر يسبش لاي حسس وحدهحاجهكده زي كلم معا,sadness
بجد ايه كونسب ال يخل قلع طرح يوم خطب او فرح او صيف ثلا بجد سءل دا بقل كتر عيز عرف جبت,anger
ايه رعب ده قنع خلص حول يسك ناس ليه جلم نوع اخو ركب خوف رهب اخر قرف,anger
بين الف زعل تشت دمع الل دمع,sadness
حمد الل قنع كنز,joy
كثر عرب نشر شعه ان وثر حدث اير ارخ حدث شيء الا اشع تءد لخب امل ويس انا تكد سين ظلم,sadness
جرح سيف خفف وبيستخبا جرح لسن رخص وبن حبه,sadness
مو فهم ليه قطع دين صرخ وصد نغم حزن ليه كءب,sadness
راح اقل فرق شوف تحل طلت بابتسامه • • بسم,joy
هتم كنت عرف وحد عمو يعن غدر صحب,sadness
حلق ظرف انا شيف وحد فرض يشف يهو رنمج تني عشن يجي شكرالل حسن صدق طبظو,joy
نسب تغر نظر ازم ربع روح فكه طبع,joy
غضب شدد رضي فجء حسس هءل وحش خوف حزن رهب نهي اليوم يبد اليوم غضب شدد هرمو,sadness
يا ليت فرح سعد قلب,joy
احب حرم راي ناس قبل سرر,joy
رءت تعب شعر فقد تعب,sadness
حلم حلم ابو كلب اشا انه حلم,sadness
نقب مثل خلص الل يشف راه كشف عهر وجو الل يشف راه قبه تخلف تخل راه بحل,sadness
ضحك تعض ضحك بكت رجل مش باش يكد بز ليف ريق و كذا —,joy
قنه بدي هي بدي فسد ملغ بيت غلق لان اشد خطر قنه ونس وام سي لان تلبس دين طلب بعد قنه بدي,anger
ستر علي عمل يمن وذا قلت اضر وطن بلد اتك يقل خلهم رزق الل ليه حسد حقق امر نهم تنفع ستر,anger
حسس خوف مش طبع مكن اول مره احس اني خيف حجه اصل يمكن فكر ان انا هخد قرر حمل عقب وحد تما,fear
هالشهر وصل رسل وجع جلس قلب مده طول لين لشي غرب ان سنه هالشهر ازل تجي غصه وجع,sadness
خليش حد حبط انت مش صغر فرض تكون حبط وحد,sadness
انت هجر دري وش سلف,anger
دكتور حبه عرف اذا ظهر او قرب صرت دقق لمس زي قشر جرح صغر هلش خطر,fear
اود تخل لان رمض بس يخف انه يبي نحر ولا شي شين,fear
ولي قدر اقل ان خذل وخب امل تطف تخل رره عرقسوس كده,sadness
نجي وقع كلن نحب شخص قلب مو لنا نهي ء جرح اضي,sadness
ايه متح خرا ده حرق ميت ام دي كله,sadness
صحح حال عبر قرف مرض ثلا كره فلم رعب ريض,anger
احب بلغ حزن ابد او صنع حزن يعن اذا شفت ضايق او هدي عرف ان حزن وصل لحد الل قدر اخب بضح او بسم,sadness
تني ايم عيد حفل تمر حسن الل عيز يجي امل برك دين رحب حفل,joy
بنت محب هرد ماش رقع صواريخ ناس,anger
نقي هوء برد ويم جمل لهم ادم عمگ رسم شفه بسم واغمرقلوب فرح,joy
احل فرح فرح نجح الف برك فرح نجح,joy
ربي سعد ويه,joy
دمو خفف كلش,joy
غيب جرد شيء جعل كورق خرف مهب ريح عثر جعل ادر بان خاف فقد صبح حقق ان وعد جرد,sadness
وقف زوج طفل نجر وقف غصب طفل نجر هذا صحح,anger
بهج اشف زوج زوج سعد يا الل ياه وبس اصر سعد اطر سعد الل عيو لمع لقص حد قلب جنح,joy
كنت شغل ارد ان مزح صرخ غضب هدت وجد حزن عذر قلت انا يرد ان عذر,anger
شكح علش ناس الل زعل بءس شعر شكح,joy
فيح ببل رعب احس فجر,fear
زهق انا طلع شمل حمد يا جمع اذا بدل سير اليوم خل احد اين خفر حمد كفل,anger
وثب شيط علم ريض اشد ضرو وعت شرس بقي وكل شهر كرم,anger
سعد جنس افي علق زوج زي ناس,joy
يوم لبس ختم عقق لحظ علق احد حبط,sadness
فرح انك تقف قدم كعب فرح وصف,joy
زعل قلب وين الق رضا كمل بقي عمر,sadness
هوا خوف ربك ربع سعه اذا عدت تمم,fear
رمض جاي ولل بعد عمر ديد الل يدم نعم ديم لـ طول عمر,joy
كلم كتب لجل مدح او لذم كلم قلب نزف قطر دم خوف حسر ويم ندم يبن حلل حس الل ايف فهم,sadness
علم بكء شفق بنه يته بحا او بقه شعر طفل تكن لحب حنن,sadness
عيز اقل اني بخف ابص سعه او حد يقل قدم سعه كام فوب سعه,anger
يشش ايش خين عبد اير خين جار ايش يا خونج تفو شيخ خين جكم سلم حزم,sadness
فرق خلط ورق زعل زعل حيل طول حزن,sadness
برح شعر يوم شعر ومب قصه جدد كذب حسس ولف ودر ليت احظ فرص سعد,sadness
بحس ونا اشي رمض صبح اني ناس ضايق بصل حسس اني انا الل صحت هه شعر ياء,sadness
يخف انه صبح صمت صمت طرق رعب تبك حدث بداخلهافقط بسم طول وقت هذه علم تعن انه حطم حطم تما,fear
وحد ببد حكم بشر نزل بوس فيس رحم حفظ فتر كشف بشر غضب غضب شدد سبب هالبوس,anger
مش درجاد يرس,joy
هي كءب حزن نكد هي جوا جرح عمل نزف وجع كبر عرف دوي جرح تشك همه لحد لكي الل يا انت,sadness
ربي سعد حمد سعد ابد كثر اضح هالصبح سنب حمد شهر,joy
عذر سمح وارتجافه يدك خيف اعط فرص منت كفو,fear
اقي سلسل رمض سنه دي كفر دلهاب كلبش زءبق كفر دلهاب لول مره سين صره عمل حجه رعب بجد سلسل رءءع,joy
عام ونت سعد رحه بال ربي جعل سنه لين فرح حقق امن,joy
زعل ورض عصب تخل اتم ابس اليوم الي جاب لي حله حلا,joy
ولل انت سهل خير الل جعل سعد خير ممك يا,joy
احن الل كبر ايه ظبط بلر الل كنش حد بقي اندرايدج رضو وضع حزن حزن,sadness
تضح انك كنت عبس كانت ترد بسم خرج حله بءس رسل لك رسل حلل شخص,sadness
هفرقع انا عيز اعط عيز حضن اعط انا لبس نزل قبل ضيف بوش برد عشن ناش مالهاش ذنب في حزن انا مش قدر,sadness
فرق علم بسر اسلامبوفوب قضه ذنب سلم تهم سلم كمل عنف رهب خصي عنا,sadness
جزع قدر علا طلب الل يهل قتل نهز يمن,sadness
اخر شهد نظر الل خيب امل ونه افش فيد مثل فشخ,sadness
فلس بتسرقوهاوتعملول مشاريع اجتماعيهوتعملولناحروب اجتماعيهوترهيب رغب وعنصريهفلوسي فين مرتلمحواسال نلق عنف او,anger
رفع اكف ضرع ان نقم الل قضي حكم ظلم برء حيه ل مظاليم,sadness
نصح صحب قطع خلع يتق الل هالشهر كرم ذنب راي قطع حسب لهم بلغ حبط فجر حرم,sadness
نسب رور عام حزن موت جوع حوث عفش حفل رقص ويغ قبح تعس نهد ذبل,sadness
انا صغر كنت حضر فلم رعب فرد هيتشكو كنت عم اخد فكر بدو يكون قبل عرب ربع رعب,sadness
يا ويل انا مجن خوف هجر,sadness
زعج صرف قتل ابق شعر قلب,sadness
الل جلس حلطم يقل نخب تهل او همه حيل يجي زعج فاز نخب بذن الل,anger
ونت بخر سعد يا يعد علك ايم بخر,joy
اسف عذر ضطراب هلع كلم الي وصف نوب,sadness
طيب اذا انا كنت حبط,sadness
اقل تيس يقل حلب بعض ناس اله طب ابد صعب فهم تجي يقل يسر تجي يسر يقل يمن يلل خير,sadness
بسط تنطع لحد تفق ضرب عدن راهيم عدن قض ضجع جمع لكل حذر يخش فكر عدن عظم,anger
يلي ادء طعم فطر بعد امو ارح عرف شو يعن غرب,sadness
حلف ده انا مخرجتش هرد خلص خيف لحر,joy
فطر ليل طلعل جءز,joy
حين يجك رشلو يقل انه شجع برش زعج اهل,anger
ضغط علي صبح لسه نزل دلق عذب ده عقب زلزال بقي هده حيل,sadness
اذا بيت فضي يجي شعر بسي حفل خرب دنا جنب بعد اخذ شحن سدح لين يجن اهل,joy
حسب الل وكل ربن نقم جبر سلم مش كده حسب الل وكل الل يشو دين سلم,sadness
طقه سلب حزن نكد قرف زهق شكل جمل مش عرف فرغ تخط وضع ازي,sadness
نصر حره علي دره جد هلل شيء جمل كمه سعد شكر هلل,joy
فرح انه هيلعب كلب كتر انه هيلعب يفر لنه هيخل احس هيبق علم عاه ان شاء الل,joy
ولل اكلب كلب,anger
جمل عيد بلد عيد قام حرر اير عظم نصر عظم صبر ارخ,joy
لسه عرف ال حصل نيا فيش كلم وصف حزن بس كلم وصف غضب بلد قذر ال مش فرق معا كرم حقق وطن,sadness
سرع مو عدء رهب سجد,anger
الل فرح ان حضر تلغ متتوصفش شكح,joy
نظر رمض علش روق ورح بال,joy
هدا رفضو علج قبل رفسور وحل سيء تكف شف حلت رفض علج هدا عنز,sadness
حلم غرب عجب حلو,joy
كمه شكح الي كنت ونا بفض شنط بتع اقي ورق جمل كلم لمس قلب صدقاء اوض بجد حقق حبكو اوي,joy
احس حيه ضدي طمح بدا ضعف حول اعط امل قنع ان سلم داء ضعف,fear
عيد جمع الل قرب تصف نفس معاليل سنه الل نزل كتب فرح سعد كبر هلل صلا رحم,joy
الي غءب ان تكو وحد اتم عسه,sadness
شيف ناس الي طول يضح تحس رتح هه •لو كلم مره قلب خلو تبك,joy
لهم سلك رحه تمل ورض غمر قلب عمل يرض ربي ذكر شغل وعف غسل ذنب,joy
انا اخف خفض خفف,fear
دنا غضب غضب شدد علي حرق مرت كسر كوب رجل باب قفل يدي ايش بقي لي,sadness
ريض بحج عمل جمل الل يشف شي قطع قلب ولل وين وزر صحه,sadness
بسم لحا بسم لكل ما حول فكر كل ما سعد فكر امر قلق لمل دوء قلق عنء فءل رجء,joy
رجل يرح تغد دول صدق رجع شنط اشف حمس وطن يوم عزل رسي قل لهم دلم هلا تون ابد,anger
ولل ازا انت فكرب يهد ترض عطك دول حدد عنجد كلك تكو جان ولل متر ارض تعط,anger
عمو وجد اصبح ثقل وبه بدا زعج امر قدر وكل بدل تغل,anger
