words,emotion
من جمل يتر انو دخل وقت الل ابه غرد بلل ابه وم احد عرف ولل حمد رتح ثقه ضحك صمت حزن,joy
نره حدباء عمل يدل ان ثور عشءر كانت ولش هدم وصم عار بجب دخل دعش صفق ذكر ارخ حشر ولل جبناء,anger
⁦مرحب انت جمل شخص يحب كون سعد داء عين ذهل بسم حب,joy
عود خطر علم في علم وعل سلم ايه شكح,joy
غرابيب سود لم تبع اري كثر نقم ودي تبع شان قده عمو اثق,anger
فرح عيز اضح,joy
لغه عطف قنع سقط عمل حقر يحك ضد ملك كشف عدد خنازير كلب ظله ظهر نيا وام قبح الل,anger
فرح قلب مثل في رضا ربن حب ناس الل حول اني ابق طمن يهم شكر,joy
رحو وطن تره شعب حتج فرح تهل خير كوت خله كوي شوي,joy
قطع علق مع قطر جرح خطر خذل جرح عمق خذل جرح بغض نظر طعن تجي كف صدق عبر وضع جسد ظهر,sadness
فرح نجح جمع يرن جاب ذكر امل انث خيب رغم حلم رجل انث وخب انث رجل,anger
فجه كره شخص وقع ان اكر يوم تفج حزن,surprise
بهج امل حب ماتنزل درج اده اقبل اخر حب حب حب حب حب يرب ايش اسي اطر يعن نقز ولل ايش ضبط صارقلب بست شكرايارب معا حب حب,joy
همل درس ثني في اخر ملف يعن عيب ولل يكف انو فتر خبر حصل نهء قدر حزن حزن,sadness
تعب حزن ضيق وجع رهق خنق صدم,sadness
طرب فنن من لبن صوت يجب يحض فرح ما عرف شو ذكر فيا حال صبحو يا جمع مرح,joy
ربي دخل شهر رمض علي رضي عنا جعل بدل فيه ذنب حسن همم فرح وحم وقع,joy
رحل هند لسط طلب صرح سهل وفد جنب جرم تمت حكم وسج رحل سمح عود بلد,sadness
هيب ناد نسب نجم لكه هيب يوا رحت علك يا علا بلش فلم اسا بدن حطو امر وقع قلق,anger
كبرياء بسم دخل عزء,joy
لهم رزق سعد لتن ورح بال نجل غمر قلب فرح ورح سكن حقق اتم وبر شكر شكر,joy
صيب مصر في خوف الل ملا قلب مصر بشر شء نسو ان الل سبب سبب قدر شء,sadness
فرح انك عرف ان ربن رضي يكنش غضب حب,joy
يلف داء حول فزو افه احد عمل بمه ليه اخل قصه عيل بار بام ليه ديم سلب لعن صدر لهم,anger
نصح تسق شرع ريض فطر سحر ناس مكن يمت لحق فطر او سحر شي رعب جدا وين رور,fear
لم اعد حمل فجء كسر حرم فقد رفق يزم رره رمد عمر جنن قلم دعم,sadness
دير شرط دهس شاب عمد لكل هتر حيه ناس لزم عقب غضب,anger
رمب قطر تمل رهب خوف جلس تعا ليع ان نسك خين اعل عدو صرح فضل حيك ءمر دسءس,anger
عزل ضقت احب جلس وحد حبب رفق خوي نجم,sadness
بوب كور ابي بنت تذل كسر دعس تخل كلب هان رجل حزن حب حزن,sadness
عيد برك كلل عام وان بخر جمع عيد فرح سعد حب قلب,joy
بنك اهل ءخر رتب دره اهل عسك خسر لير لير مو ملي حبس رتب هلو شطر يا كبر حرم راس مجن,anger
سعد رمث مثل نعم مثل يا ولد دري گفو خوه وشخ كلن تخر اعل طلع تخب هه حب نجم,joy
عبر عن الي قلب مو شيء قلب نقل او حرف تكف عبر الي قلب يمكن فرح او حزن او او خيب شيء كثر هالقلب,joy
اهل ذوب اهن ثقا اهل تهت ثقه اهل ثقا فرح عرف مضي طرق اهل نوم حب برك وزز ملو,joy
فيه شخص جرد ولف تنس همم حجه شيل همه وان كانت بسم خصر جمل هدا ربي احب,joy
فرح تتي ثلث شخص يحب حد جنن تحب صحه سقم عفي مال يمل جيب حلل عيد سلم محب,joy
رعب قلق سقط شعر سهر تعب رهق,fear
عهد فتي شكر تعب امس قوت جزا رب خير قدم سعد حب كتب بحب لـ امل حمد فرج,joy
قطر عان عسكر ترك اير جرء حرز ارب رعب خلج,fear
شكر لمن طبخ فطر ليش رجل يحب اكل حرم بلع بلع حزن,joy
غيب عتب فرق عشق حب قرب شي احب حيت ديم شي احب خسر خير نجم حب نجم,sadness
بهج سعا ثال صخب الي مسمعتش كلم هتروح دهي حزن ولو سمع كلم هتروح ستن دهي ضحك ضحك ريح دام,joy
ومر قطر علي سعد ياي انا خيف كتر رعب قلم رومنص حنن,fear
اليوم علم كيب كءب جحم يطق عرف الا جرب خفق قلب الم نفس حبط حزن قهر خمل وخص جهه يسر,sadness
بهج سعا ثال صحب الي مسمعتش كلم هتروح دهي حزن ولو سمع كلم هتروح ستن دهي ضحك ضحك ريح دام,joy
دهس مصل في لند اي حدث حدث الي حصل غرب يقل حدث بسب رهب الا سلم حصل حدث حدش يقل حجه غضب,sadness
بهج امل جمل حجه حيه اما تشف ضاق شي تقل امل علم داي انو اي وقف مو كوس حيعد انو اضح انس حب حب,joy
عبدالل فوز دمع فرق ديه حرق الي خلك وقف تقل وش هالدنياء يلل لهم رزق رهم,sadness
شاه باحتفاليه سرح سلم سعد في قرب الل,joy
حسس رعب تقف غرف زجج نظر عزز وسد جرح تحص دقت قلب نظر قرر حيه بدي منح فرح,sadness
حيي ربع طول خلك اشي يجر,joy
برء سحر ريض لا يشخ سلك الل انت وجه برء وين عقل قلت اتب هلع الي جها وقف كبر دلل انه سحر مرض صمت يسر,anger
قطع كهرباء روس جرم حي روس حدث قطع كهرباء تعد الح عصر حجر نهي ذعر طفل عجءز وسء حله رضي,anger
كلم رجل امن حرم جزا الل خير فخر وطن اسل الل وفق سعد رحه رزق حب حب,joy
عرف ان اذا رجع صغر حجم رجع حقر غضب,sadness
لا رحه عدل رحه ⁧ صله فجر ⁩ رضا دخل شرح صدر ثيل لهم اعن قيم دوم,joy
حمل برع بكس حلو قطر اهل قطر بحج حتجو نصف مول عزء حقد خلج خرج,anger
عيد مع رغد حمد رغغدد ابي وزز الل سعد دنا وخر الل يخل فوز اتم افز جلس يزر جسم كمل حزن حزن,joy
يله قدر علم طمن طمن قلب شرح صدر ءمن يجد رحه وطمانينه شرح صدر ليل,joy
سكت عمر علم رضا سكت نفذ صبر وجع نتو الل مبتحسوش حزن,sadness
ايه الي هيحصل لو رضي نصر مات ضحك,joy
غضب سكت شيء جدد شخص,sadness
يلف حلق اليوم رفز طرق كلم حرم جبت قلق ياء ودي كسر لفز زعج,anger
احس توتر مو عرف ولف عذر,fear
قل لغل كلم عيد فيه گ نقاءالمطرهي ولد فرح بسم عدۿ فرح كمل بوجودهالي تمل فرح دايماياعسي ربي يخليهاويحفض,joy
امي يا شمع حيت نبض روح ضفتيل جرح زحم جرح,sadness
شوفگ حته من جنه شوفگ ضحك وسط دمع حب كنگ بنت ضلع حبگ عشق مش منع حب,joy
عيد بهج فرح سجد صدق سنه امه بخر حب,joy
سرب سفر امر ليس سرب وقف علن شرف امر رفع راس امر خون يقل عكس مايفعل,anger
فرح انك تكون ذكر جزء نهج تلق متح جاي في جزء ده,joy
عيد مع رغد حمد اتم اي بلغ ادي ابغ شري لما عيد فرح بلز حزن حزن حزن,joy
فوب خاريب يرب تمت شكل دءر قرب رفز درج ابك عدي يجي الي ودي شلع شلع يسر حزن,sadness
